=== MATCH START ===
turn=1 active=P2 phase=MAIN result=ONGOING
P1 leader_hp=12 | P2 leader_hp=9
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@1B(1/1); P1 군주@1C(11/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=11
T2 P1 MAIN | Pawn 소환 -> 1E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@1B(1/1); P1 폰#3@1E(1/1); P1 군주@1C(11/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=12
T2 P1 MAIN | P1 폰#3 이동 -> 2E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@1B(1/1); P1 폰#3@2E(1/1); P1 군주@1C(11/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=13
T2 P1 MAIN | P1 폰#1 이동 -> 2B
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 군주@1C(11/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=14
T2 P1 MAIN | Pawn 소환 -> 1D
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@1C(11/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=15
T2 P1 MAIN | The King 사용 | 대상=P1 군주 | 위치=2D
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=16
T2 P1 MAIN | The Bishop 소환 -> 1B
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@1B(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=17
T2 P1 MAIN | P1 비숍 이동 -> 5F
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=18
T2 P1 MAIN | The Rook 소환 -> 1E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1E(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=19
T2 P1 MAIN | P1 룩 이동 -> 1F
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1F(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=20
T2 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1F(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=21
T3 P2 MAIN | 망상의 기사님 소환 -> 6C
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#1@2B(1/1); P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1F(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=22
T3 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1F(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=23
T4 P1 MAIN | The Knight 소환 -> 1E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1F(3/3); P1 나이트@1E(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=24
T4 P1 MAIN | The King 사용 | 대상=P1 나이트 | 위치=2C
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@2E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1F(3/3); P1 나이트@2C(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=25
T4 P1 MAIN | P1 폰#3 이동 -> 3E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1F(3/3); P1 나이트@2C(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=26
T4 P1 MAIN | P1 룩 이동 -> 1E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@2D(11/12); P1 비숍@5F(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=27
T4 P1 MAIN | P1 군주 이동 -> 3C
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@5F(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=28
T4 P1 MAIN | P1 비숍 이동 -> 4E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=29
T4 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9); P2 나이트@6C(3/3) | note=random_step=30
T5 P2 MAIN | P2 군주 이동 -> 5D
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5D(9/9); P2 나이트@6C(3/3) | note=random_step=31
T5 P2 MAIN | P2 비숍 이동 -> 3B
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@3B(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5D(9/9); P2 나이트@6C(3/3) | note=random_step=32
T5 P2 MAIN | 귤 요정 소환 -> 6E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@3B(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5D(9/9); P2 폰#1@6E(1/1); P2 나이트@6C(3/3) | note=random_step=33
T5 P2 MAIN | P2 룩 이동 -> 2F
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@3B(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@5D(9/9); P2 폰#1@6E(1/1); P2 나이트@6C(3/3) | note=random_step=34
T5 P2 MAIN | P2 폰#1 이동 -> 5E
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@3B(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@5D(9/9); P2 폰#1@5E(1/1); P2 나이트@6C(3/3) | note=random_step=35
T5 P2 MAIN | 귤 직장인? 소환 -> 4A
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(3/3); P2 비숍@3B(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@6C(3/3) | note=random_step=36
T5 P2 MAIN | P2 룩 공격 -> P1 나이트
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(2/3); P2 비숍@3B(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@6C(3/3) | note=random_step=37
T5 P2 MAIN | P2 폰#2 이동 -> 4B
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(2/3); P2 비숍@3B(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@6C(3/3) | note=random_step=38
T5 P2 MAIN | P2 나이트 이동 -> 4D
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#3@3E(1/1); P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(2/3); P2 비숍@3B(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@4D(3/3) | note=random_step=39
T5 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#2@1D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(2/3); P2 비숍@3B(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@4D(3/3) | note=random_step=40
T6 P1 MAIN | P1 폰#2 이동 -> 2D
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#2@2D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@2C(2/3); P2 비숍@3B(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@4D(3/3) | note=random_step=41
T6 P1 MAIN | P1 나이트 이동 -> 3A
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#2@2D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@3A(2/3); P2 비숍@3B(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@4D(3/3) | note=random_step=42
T6 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#2@2D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@3A(2/3); P2 비숍@3B(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@4D(3/3) | note=random_step=43
T7 P2 MAIN | P2 나이트 이동 -> 3F
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#2@2D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@3A(2/3); P2 비숍@3B(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=44
T7 P2 MAIN | P2 비숍 이동 -> 5D
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#2@2D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P1 나이트@3A(2/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=45
T7 P2 MAIN | 귤 요정 사용 | 대상=P2 군주, P1 나이트
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 폰#2@2D(1/1); P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=46
T7 P2 MAIN | P2 룩 공격 -> P1 폰#2
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2F(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=47
T7 P2 MAIN | P2 룩 이동 -> 2D
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2D(3/3); P2 군주@4A(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=48
T7 P2 MAIN | P2 군주 이동 -> 3B
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=49
T7 P2 MAIN | 귤 공주님 사용 | 대상=P2 폰#3
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@5A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=50
T7 P2 MAIN | P2 폰#3 이동 -> 4A
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 군주@3C(11/12); P1 비숍@4E(3/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=51
T7 P2 MAIN | P2 비숍 공격 -> P1 비숍
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 군주@3C(11/12); P1 비숍@4E(2/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=52
T7 P2 MAIN | P2 폰#2 공격 -> P1 군주
    -> result=ONGOING P1_HP=10 P2_HP=9 board=P1 군주@3C(10/12); P1 비숍@4E(2/3); P1 룩@1E(3/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=53
T7 P2 MAIN | 망상의 기사님 사용 | 대상=P1 룩
    -> result=ONGOING P1_HP=10 P2_HP=9 board=P1 군주@3C(10/12); P1 비숍@4E(2/3); P1 룩@1E(1/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=54
T7 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 군주@3C(9/12); P1 비숍@4E(2/3); P1 룩@1E(1/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=55
T8 P1 MAIN | P1 룩 이동 -> 1C
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 군주@3C(9/12); P1 비숍@4E(2/3); P1 룩@1C(1/3); P2 비숍@5D(4/4); P2 폰#2@4B(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=56
T8 P1 MAIN | P1 군주 공격 -> P2 폰#2
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 군주@3C(9/12); P1 비숍@4E(2/3); P1 룩@1C(1/3); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=57
T8 P1 MAIN | The Rook 사용 | 대상=P1 룩
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 군주@3C(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=58
T8 P1 MAIN | P1 군주 이동 -> 4D
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 군주@4D(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=59
T8 P1 MAIN | Pawn 소환 -> 1F
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@1F(1/1); P1 군주@4D(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(3/3) | note=random_step=60
T8 P1 MAIN | The Bishop 사용 | 대상=P2 나이트
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@1F(1/1); P1 군주@4D(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(2/3) | note=random_step=61
T8 P1 MAIN | Pawn 소환 -> 1D
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@1F(1/1); P1 폰#3@1D(1/1); P1 군주@4D(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(2/3) | note=random_step=62
T8 P1 MAIN | Pawn 소환 -> 1B
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@1F(1/1); P1 폰#3@1D(1/1); P1 폰#2@1B(1/1); P1 군주@4D(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(2/3) | note=random_step=63
T8 P1 MAIN | P1 비숍 공격 -> P2 나이트
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@1F(1/1); P1 폰#3@1D(1/1); P1 폰#2@1B(1/1); P1 군주@4D(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=64
T8 P1 MAIN | P1 폰#2 이동 -> 2B
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@1F(1/1); P1 폰#3@1D(1/1); P1 폰#2@2B(1/1); P1 군주@4D(9/12); P1 비숍@4E(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=65
T8 P1 MAIN | P1 비숍 이동 -> 2C
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@1F(1/1); P1 폰#3@1D(1/1); P1 폰#2@2B(1/1); P1 군주@4D(9/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=66
T8 P1 MAIN | P1 폰#1 이동 -> 2F
